,TXS,NODES,FRAC_SPIES,PRECISION,RECALL,KAD_K,ID_LEN
118,50.0,100.0,0.3333333333333333,0.6862745098039216,0.9411764705882353,20.0,8.0
119,100.0,100.0,0.3333333333333333,0.4657232704402516,0.9433962264150944,20.0,8.0
120,1.0,100.0,0.25,1.0,1.0,20.0,8.0
121,5.0,100.0,0.25,1.0,1.0,20.0,8.0
122,10.0,100.0,0.25,1.0,1.0,20.0,8.0
123,20.0,100.0,0.25,0.7692307692307693,0.7692307692307693,20.0,8.0
124,50.0,100.0,0.25,0.7068965517241379,0.896551724137931,20.0,8.0
125,100.0,100.0,0.25,0.5981481481481482,0.8888888888888888,20.0,8.0
126,1.0,100.0,0.2,1.0,1.0,20.0,8.0
127,5.0,100.0,0.2,0.6666666666666666,0.6666666666666666,20.0,8.0
128,10.0,100.0,0.2,1.0,1.0,20.0,8.0
129,20.0,100.0,0.2,0.7,0.8,20.0,8.0
130,50.0,100.0,0.2,0.6714285714285714,0.8857142857142857,20.0,8.0
131,100.0,100.0,0.2,0.4544715447154472,0.8048780487804879,20.0,8.0
132,1.0,100.0,0.16666666666666666,1.0,1.0,20.0,8.0
133,5.0,100.0,0.16666666666666666,1.0,1.0,20.0,8.0
134,10.0,100.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,20.0,8.0
135,20.0,100.0,0.16666666666666666,0.875,1.0,20.0,8.0
136,50.0,100.0,0.16666666666666666,0.5,0.6666666666666666,20.0,8.0
137,100.0,100.0,0.16666666666666666,0.48,0.8,20.0,8.0
138,1.0,100.0,0.14285714285714285,1.0,1.0,20.0,8.0
139,5.0,100.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,20.0,8.0
140,10.0,100.0,0.14285714285714285,0.7142857142857143,0.7142857142857143,20.0,8.0
141,20.0,100.0,0.14285714285714285,0.4583333333333333,0.5,20.0,8.0
142,50.0,100.0,0.14285714285714285,0.5632183908045977,0.7241379310344828,20.0,8.0
143,100.0,100.0,0.14285714285714285,0.48958333333333326,0.7708333333333334,20.0,8.0
144,1.0,100.0,0.125,1.0,1.0,20.0,8.0
145,5.0,100.0,0.125,0.5,0.5,20.0,8.0
146,10.0,100.0,0.125,0.6666666666666666,0.6666666666666666,20.0,8.0
147,20.0,100.0,0.125,0.5416666666666666,0.5833333333333334,20.0,8.0
148,50.0,100.0,0.125,0.6733333333333333,0.8,20.0,8.0
149,100.0,100.0,0.125,0.5019999999999999,0.8,20.0,8.0
150,1.0,100.0,0.1111111111111111,1.0,1.0,20.0,8.0
151,5.0,100.0,0.1111111111111111,0.6666666666666666,0.6666666666666666,20.0,8.0
152,10.0,100.0,0.1111111111111111,0.42857142857142855,0.42857142857142855,20.0,8.0
